No,商品コード,商品名称,細分類コード,細分類名称,メーカーコード,メーカー名称,出現日,容量,年月,地区コード,地区名称,金額,数量,平均価格,金額／販売店千人,数量／販売店千人,数量／店,販売店率
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年01月,980,全国,34907535,240731,145.01,606.763,4.184,240.49,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年02月,980,全国,29219152,200999,145.37,532.654,3.664,201.40,99.70%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年03月,980,全国,36142559,256036,141.16,592.936,4.200,256.04,99.90%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年04月,980,全国,33854544,238825,141.75,560.701,3.955,238.59,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年05月,980,全国,33371048,234155,142.52,534.708,3.752,233.92,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年06月,980,全国,23313302,147881,157.65,388.455,2.464,147.73,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年07月,980,全国,29454729,191635,153.70,464.828,3.024,191.44,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年08月,980,全国,34014612,214702,158.43,532.049,3.358,214.49,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年09月,980,全国,34857678,230515,151.22,573.340,3.792,230.28,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年10月,980,全国,32080745,207897,154.31,511.724,3.316,207.69,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年11月,980,全国,30436238,198531,153.31,515.459,3.362,198.33,100.00%
1,49698626,日清　カップヌードル　７８ｇ,111203,カップ麺,4902105,日清食品,2009年04月17日,78,2023年12月,980,全国,31793902,203895,155.93,487.696,3.128,203.69,100.00%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年01月,980,全国,28098455,194775,144.26,488.725,3.388,194.97,99.80%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年02月,980,全国,23448685,161242,145.43,427.715,2.941,161.73,99.60%
2,49698633,日清　カップヌードル　シーフードヌードル　７５ｇ,111203,カップ麺,4902105,日清食品,2009年06月28日,75,2023年03月,980,全国,29420365,209326,140.55,483.350,3.439,209.96,99.60%
